,,,,,,,,,,,,,
,Остатки,,,,,,,,,,,,
,,отчет создан:,18/03/2026 12:32:54,,,,,,,,,,
,,исполнитель:,Баркова Светлана (admin@autopartsworld ),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Доступно,Резерв,Ожидание,Остаток,Себестоимость,"Сумма себестоимости",Цена продажи,Сумма продажи,Дней на складе
,,,,,,,,,,,,,
,2903,4082048100,Привод (полуось) правый 4082048100 Geely Coolray SX11 Original no logo ПОРВАН ПЫЛЬНИК,шт,1,0,0,1,6528,6528,14000,14000,28.74
,2884,3716035HF01,Фонарь задний левый 3716035HF01 HongQi H5 ДЕФЕКТ СКОЛ УГЛА,шт,1,0,0,1,8772,8772,9000,9000,33.99
,2564,302001328AA,Трубка системы охлаждения 302001328AA Chery/Exeed LX,шт,1,0,0,1,0,0,1200,1200,118.82
,2548,E4T15B1118050AB,Помпа водяная/насос E4T15B1118050AB Chery/Omoda S5/Exeed Lx/Jetour X90 PLUS,шт,1,0,0,1,0,0,3500,3500,19.8
,2566,301000352AA,Трубка кондиционера 301000352AA Chery/Exeed LX,шт,1,0,0,1,0,0,2300,2300,118.82
,2552,E4G161307010AB,Корпус масляного фильтра E4G161307010AB Chery,шт,1,0,0,1,0,0,3500,3500,118.82
,2561,E4T15B3541013,Трубка охлаждающей жидкости E4T15B3541013 Chery/Omoda/Exeed LX,шт,1,0,0,1,0,0,1738,1738,118.82
,2551,E4T15C1118063,Трубка системы охлаждения E4T15C1118063 Chery/Omoda/Exeed LX,шт,1,0,0,1,0,0,1000,1000,118.82
,2562,302000430AA,Патрубок интеркулера 302000430AA Chery/Exeed LX,шт,1,0,0,1,0,0,2000,2000,118.82
,2542,806004911AA,Проводка двигателя 806004911AA Chery SQRE4T15C,шт,1,0,0,1,0,0,4000,4000,118.82
,2546,T151109210AD,Патрубок воздушного фильтра T151109210AD Chery,шт,1,0,0,1,0,0,3000,3000,118.82
,2923,6010084100,Рамка ПТФ левая 6010084100 Geely Coolray SX11 ДЕФЕКТ (чуть надломано),шт,1,0,0,1,210,210,420,420,0.99
,2919,LR113307,Рычаг передний нижний левый передний LR113307 ДЕФЕКТ (порван пыльник),шт,1,0,0,1,5460,5460,10000,10000,5
,2556,F01R00Q032 ,Клапан вентиляции топливного бака F01R00Q032 Chery,шт,1,0,0,1,0,0,1800,1800,118.82
,128,B511F2701030101,Дверь передняя левая B511F2701030101 Changan Alsvin ДЕФЕКТЫ,шт,1,0,0,1,8932,8932,19200,19200,471.79
,955,407000363AA-SH,Блок управления SRS 407000363AA-SH Chery б/у,шт,1,0,0,1,16666,16666,30000,30000,471.79
,1280,407000119AA-SH,Блок управления подушек безопасности 407000119AA-SH Chery б/у,шт,1,0,0,1,8333,8333,8000,8000,471.79
,320,J421308010-SH,Вентилятор радиатора J421308010 Chery б/у оригинал,шт,1,0,0,1,2000,2000,7800,7800,155.98
,661,T151109510,Воздухозаборник T151109510 Б/У,шт,1,0,0,1,830,830,1700,1700,471.79
,229,202000405AA-SH,Втулка стабилизатора левая б/у Chery 202000405AA-SH,шт,1,0,0,1,120,120,240,240,159.05
,220,202000406AA-SH,Втулка стабилизатора правая б/у Chery 202000406AA-SH,шт,1,0,0,1,140,140,250,250,159.05
,816,703000311AA-SH,Динамик 703000311AA Chery б/у,шт,1,0,0,1,416,416,1000,1000,159.05
